Dimensão,Título da dimensão,Aspectos (conhecimento explicito e estudo cientifico vinculado),Atributos vinculados,Artigo principal de justificativa,Motivo da justificativa principal,Categoria (nominal ou ordinal),Valor min,Valor max,Média,Desvio padrão,Moda,Frequência,Informações atributos
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00601 - Ontem o(a) Sr(a) comeu arroz, macarrão, polenta, cuscuz ou milho verde.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,1.0,1.0: 18791 (91.62%) ; 2.0: 1718 (8.38%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 1.0 | Frequência: 1.0: 18791 (91.62%) ; 2.0: 1718 (8.38%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00602 - Batata comum, mandioca/aipim/macaxeira, cará ou inhame.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 11806 (57.56%) ; 1.0: 8703 (42.44%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 11806 (57.56%) ; 1.0: 8703 (42.44%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00603 - Feijão, ervilha, lentilha ou grão de bico.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,1.0,1.0: 16484 (80.37%) ; 2.0: 4025 (19.63%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 1.0 | Frequência: 1.0: 16484 (80.37%) ; 2.0: 4025 (19.63%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00604 - Carne de boi, porco, frango, peixe",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,1.0,1.0: 18981 (92.55%) ; 2.0: 1528 (7.45%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 1.0 | Frequência: 1.0: 18981 (92.55%) ; 2.0: 1528 (7.45%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00605 - Ovo (frito, cozido ou mexido ).",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 11734 (57.21%) ; 1.0: 8775 (42.79%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 11734 (57.21%) ; 1.0: 8775 (42.79%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00607 - Alface, couve, brócolis, agrião ou espinfre.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 10524 (51.31%) ; 1.0: 9985 (48.69%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 10524 (51.31%) ; 1.0: 9985 (48.69%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00608 - Abóbora, cenoura, batata doce ou quiabo/caruru.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 12558 (61.23%) ; 1.0: 7951 (38.77%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 12558 (61.23%) ; 1.0: 7951 (38.77%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00609 - Tomate, pepino, abobrinha, berinjela, chuchu ou beterraba.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,1.0,1.0: 12615 (61.51%) ; 2.0: 7894 (38.49%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 1.0 | Frequência: 1.0: 12615 (61.51%) ; 2.0: 7894 (38.49%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00610 - Mamão, manga, melão amarelo ou pequi.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 13943 (67.98%) ; 1.0: 6566 (32.02%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 13943 (67.98%) ; 1.0: 6566 (32.02%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00611 - Laranja, banana, maçã, abacaxi.",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,1.0,1.0: 12241 (59.69%) ; 2.0: 8268 (40.31%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 1.0 | Frequência: 1.0: 12241 (59.69%) ; 2.0: 8268 (40.31%)
D1,Hábitos Alimentares,A1 - Recordatório 24h — consumo ontem | Artigos: Nutrition Principles and Recommendations in Diabetes (American Diabetes Association) ; Consumo de alimentos não saudáveis (Claro et al.) + Alimentos ultraprocessados e perfil nutricional (Louzada et al.),"P00613 - Amendoim, castanha de caju ou castanha do Brasil/Pará",Nutrition Principles and Recommendations in Diabetes (American Diabetes Association),Diretriz clínica que sustenta o impacto de padrões alimentares no controle glicêmico.,Nominal,Não se aplica,Não se aplica,Não se aplica,Não se aplica,2.0,2.0: 17886 (87.21%) ; 1.0: 2623 (12.79%),Categoria: Nominal | Min: Não se aplica | Max: Não se aplica | Média: Não se aplica | Desvio padrão: Não se aplica | Moda: 2.0 | Frequência: 2.0: 17886 (87.21%) ; 1.0: 2623 (12.79%)
