atributo,descricao,ganho_informacao,tipo,valores_unicos
C008_Categoria,Faixa etária do morador (Categorização da idade),0.006859030700960833,str,3
P02501,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",0.0019092223055967306,float64,8
VDD004A,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) padronizado para o Ensino Fundamental - SISTEMA DE 9 ANOS,0.0015443710332244953,float64,7
P04502,"Em um dia, quantas horas do seu tempo livre (excluindo o trabalho), o(a) Sr(a) costuma usar computador, tablet ou celular para lazer, tais como: utilizar redes sociais, para ver notícias, vídeos, jogar etc?",0.001450124653609386,float64,6
Exposicao_Metabolica_Refrigerante,Escore contínuo de exposição metabólica e química a refrigerantes (Dias × Peso Glicêmico/Tóxico),0.0012118166552118892,float64,17
Score_Ultraprocessados_Ontem,Score de consumo de alimentos ultraprocessados no dia anterior,0.0009659939292899489,float64,11
Minutos_Semanais_Exercicio,Tempo total semanal dedicado a exercícios físicos ou esportes (em minutos),0.0009599701548770045,float64,6
IMC_Categoria,"Categorização do estado nutricional segundo o IMC (Baixo peso, Eutrofia, Sobrepeso, Obesidade)",0.0008863862664773015,str,4
Classificacao_Consumo_Alcool,"Estratificação clínica de risco alcoólico segundo limites OMS e compulsão (Abstêmio, Baixo Risco, Abuso, Dependência)",0.0008154376502665095,int64,4
P01101,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",0.0007537216590081941,float64,8
Score_Saude_Mental,Score indicativo de problemas de sono e saúde mental (derivado do Módulo N),0.0007051131076507289,float64,25
P015,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,0.0007003882869807965,float64,8
P02602,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",0.0006275941646705363,float64,8
P02601,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",0.0006261444037795605,float64,5
P00611,"Laranja, banana, maçã, abacaxi.",0.0005818685162957415,float64,2
P01601,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,0.00039367926418490407,float64,8
P018,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,0.0003308748308631926,float64,8
P006,Em quantos dias da semana o(a) Sr(a) costuma comer feijão?,0.00032817580387412004,float64,8
P00901,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha?",0.00023615994391409934,float64,8
P050,"Atualmente, o(a) Sr(a) fuma algum produto do tabaco?",0.00018228754843874206,float64,3
P01001,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",0.00016192288788929865,float64,4
VDF003,"Rendimento domiciliar per capita (exclusive o rendimento das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico)",0.0001607597793758242,float64,2419
V0031,Tipo de área,0.00014773276781751554,int64,4
VDF003_outlier_flag,"[FLAG OUTLIER] Rendimento domiciliar per capita (exclusive o rendimento das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico)",0.00013408582622101428,int64,2
P013,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,0.00011729851988237505,float64,8
P00103_outlier_flag,[FLAG OUTLIER] Peso - Informado (em kg) (3 inteiros e 1 casa decimal),0.00010556343972281668,int64,2
P00603,"Feijão, ervilha, lentilha ou grão de bico.",9.52764919298077e-05,float64,2
I00102,"tem algum plano de saúde médico particular, de empresa ou órgão público?",7.179134745954885e-05,float64,2
P00609,"Tomate, pepino, abobrinha, berinjela, chuchu ou beterraba.",6.778275765811914e-05,float64,2
P00612,Leite,5.781008129060461e-05,float64,2
P00104_outlier_flag,[FLAG OUTLIER] Peso - Final (em kg) (3 inteiros e 1 casa decimal),5.080383328198712e-05,int64,2
P00602,"Batata comum, mandioca/aipim/macaxeira, cará ou inhame.",2.4226333191212923e-05,float64,2
P00613,"Amendoim, castanha de caju ou castanha do Brasil/Pará",2.140487129631552e-05,float64,2
P00610,"Mamão, manga, melão amarelo ou pequi.",1.590601700646177e-05,float64,2
C006,Sexo,1.3058573132412876e-05,float64,2
P00607,"Alface, couve, brócolis, agrião ou espinfre.",1.2027301676154067e-05,float64,2
V0026,Tipo de situação censitária,1.141579319158259e-05,int64,2
P00404_outlier_flag,[FLAG OUTLIER] Altura - Final (em cm) (3 inteiros),9.80069677525286e-06,int64,2
P00604,"Carne de boi, porco, frango, peixe",5.306171398294923e-06,float64,2
P00403_outlier_flag,[FLAG OUTLIER] Altura - Informada (em cm) (3 inteiros),2.116384073491684e-06,int64,2
P00605,"Ovo (frito, cozido ou mexido ).",1.711380762992043e-06,float64,2
P00608,"Abóbora, cenoura, batata doce ou quiabo/caruru.",1.2868710825286733e-06,float64,2
E017_outlier_flag,"[FLAG OUTLIER] Quantas horas ___ trabalhava normalmente, por semana, nesse trabalho?",3.047937333910955e-07,int64,2
P00601,"Ontem o(a) Sr(a) comeu arroz, macarrão, polenta, cuscuz ou milho verde.",2.0548554260924057e-07,float64,2
