ranking,atributo,descricao,ganho_informacao,tipo,valores_unicos
1,C008_Categoria,Faixa etária do morador (Categorização da idade),0.006859030700960833,str,3
2,P02501,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",0.0019092223055967306,float64,8
3,VDD004A,Nível de instrução mais elevado alcançado (pessoas de 5 anos ou mais de idade) padronizado para o Ensino Fundamental - SISTEMA DE 9 ANOS,0.0015443710332244953,float64,7
4,P04502,"Em um dia, quantas horas do seu tempo livre (excluindo o trabalho), o(a) Sr(a) costuma usar computador, tablet ou celular para lazer, tais como: utilizar redes sociais, para ver notícias, vídeos, jogar etc?",0.001450124653609386,float64,6
5,Exposicao_Metabolica_Refrigerante,Escore contínuo de exposição metabólica e química a refrigerantes (Dias × Peso Glicêmico/Tóxico),0.0012118166552118892,float64,17
6,Score_Ultraprocessados_Ontem,Score de consumo de alimentos ultraprocessados no dia anterior,0.0009659939292899489,float64,11
7,Minutos_Semanais_Exercicio,Tempo total semanal dedicado a exercícios físicos ou esportes (em minutos),0.0009599701548770045,float64,6
8,IMC_Categoria,"Categorização do estado nutricional segundo o IMC (Baixo peso, Eutrofia, Sobrepeso, Obesidade)",0.0008863862664773015,str,4
9,Classificacao_Consumo_Alcool,"Estratificação clínica de risco alcoólico segundo limites OMS e compulsão (Abstêmio, Baixo Risco, Abuso, Dependência)",0.0008154376502665095,int64,4
10,P01101,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",0.0007537216590081941,float64,8
11,Score_Saude_Mental,Score indicativo de problemas de sono e saúde mental (derivado do Módulo N),0.0007051131076507289,float64,25
12,P015,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,0.0007003882869807965,float64,8
13,P02602,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",0.0006275941646705363,float64,8
14,P02601,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",0.0006261444037795605,float64,5
15,P00611,"Laranja, banana, maçã, abacaxi.",0.0005818685162957415,float64,2
16,P01601,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,0.00039367926418490407,float64,8
17,P018,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,0.0003308748308631926,float64,8
18,P006,Em quantos dias da semana o(a) Sr(a) costuma comer feijão?,0.00032817580387412004,float64,8
19,P00901,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha?",0.00023615994391409934,float64,8
